article	summary
stocks moved sharply lower in early trading friday morning as bonds sank following an unexpectedly robust reading on the nation 's economic growth .	stock market opens lower
before the countdown , the cork popping , the confetti and the computer worries _ indeed , long before most people had personal computers _ there was the anticipation .	a countdown to remember or a big yawn
after spending the night in a hospital in ottawa for what doctors said was a small bleeding ulcer , secretary of state warren christopher flew back to washington on friday and checked into a hospital for tests and observation .	secretary of state is hospitalized for tests
the sudanese government forces on saturday said they have captured oilfields in the southwestern province of bahr UNK from the rebel sudan people 's liberation army -lrb- spla -rrb- .	sudan army claims victory in oil-rich area
the european union and world vision tanzania will donate # million us dollars together to save tanzanian youth from hiv\/aids , local newspaper sunday news reported on sunday .	tanzania gets # million dollars to fight hiv\/aids
the supreme court on monday dealt a potentially lethal blow to federal affirmative action programs , making it substantially easier for white males to challenge the government 's ##-year effort to boost opportunities for women and minorities .	supreme court creates major hurdle to affirmative action
the u.s. dollar was sharply lower against the japanese yen , hitting a new japanese low early tuesday morning , while stock prices were down slightly .	stocks down slightly dollar down sharply in early trading
opponents of the lao government may be plotting multiple bomb attacks in vientiane and other areas of laos timed to coincide with next month 's meeting of southeast asian leaders , the united states said .	us warns of possible bomb attacks in laos during upcoming asean summit
stefan edberg overpowered malivai washington in straight sets on thursday as sweden doused america 's hopes of reaching the world team cup finals .	edberg beats washington as sweden sweeps us ; australia tops germany
southwest china 's yunnan province has established the nation 's largest network of cultural facilities .	cultural activities prosper in sw china province
india will deport notorious criminal charles sobhraj to france on monday , the press trust of india -lrb- pti -rrb- quoted a government lawyer as saying friday .	india to deport notorious criminal sobhraj monday
a moderate earthquake struck off india 's nicobar islands but no casualties , tsunamis or damage were reported , the indian meteorological department said tuesday .	moderate earthquake hits off india s nicobar islands no damage reported
it will take at least nt$ ## billion -lrb- us$ ### million -rrb- to restore transport networks across central taiwan in the wake of the cataclysmic earthquake of sept. ## , ministry of transportation and communications -lrb- motc -rrb- officials said on tuesday .	nt$ ## billion needed to restore central taiwan transport network
soldiers shoveled through rubble saturday in search of survivors or bodies , while aid agencies scrambled to get supplies to remote northeastern afghanistan , where an earthquake touched off massive landslides .	precede islamabad pakistan aid agencies scramble to reach quake victims in afghanistan
the malaysian government very welcomes republic of china vice president lien chan 's upcoming visit , paul j. k. tso , roc representative to malaysia , said on tuesday .	roc envoy optimistic about ties with malaysia
after playing havoc in southern and southwestern pakistan , heavy rains and floods thursday hit the country 's northwestern areas , killing some ## people , local tv channels reported .	## more die in pakistan floods
president mahmoud ahmadinejad of iran suggested tuesday that pope benedict xvi had satisfactorily `` modified '' his remarks on islam , one sign of an apparent easing of anger since the pope issued an apology on sunday for having caused offense with a speech he delivered last week .	iranian leader accepts pope 's recast of his remarks
malaysia airlines was forced to ground one of its airbus a### aircraft after engineering staff found possible tampering with the wiring system , the national carrier said thursday .	malaysia airlines plane grounded after wires tampered
china and russia issued a joint communique here tuesday , pledging further efforts to strengthen their strategic coordination and deepen cooperation in various fields .	china russia vow to promote strategic partnership
slovakia 's new un high representative for bosnia miroslav lajcak said he would use his mandate to bring bosnia closer to the european union .	slovakia 's un representative to be more active on bosnia issue
u.s. secretary of state hillary rodham clinton on tuesday called the proposed new u.n. sanctions against iran 's suspect nuclear program the toughest ever , a day before the u.n. security council was expected to vote on the measure .	clinton iran sanctions will be toughest ever
israeli foreign minister silvan shalom spoke sunday of a honeymoon period in relations with the european union as prime minister ariel sharon prepared to embark on a four-day trip to the continent .	israel fm hails new honeymoon period in relations with eu
gov. pete wilson will sign a bill tomorrow clearing the way for california to join ## other states in suing tobacco companies to recover billions of dollars spent treating people with tobacco-related illnesses .	california governor to sign bill clearing way for tobacco suit
furious bosnian serb leaders on tuesday threatened to strike back against the united nations and nato countries for the alliance 's bombing raid on serb positions in croatia .	bosnian serb leaders furious with the west warn of retaliation
france has demanded that the zairean ambassador 's diplomatic immunity be lifted so he can be tried for knocking down and killing two schoolboys at a pedestrian crossing , the foreign ministry said monday .	france wants zaire ambassador to stand trail after death crash
europe 's main stock markets were little changed at the start of trading on tuesday , with the london ftse ### index down #.## percent at #,###.## points .	european stocks little changed at open london slips #.## percent
milton shaw , who oversaw the design and construction of the reactors that powered the first nuclear submarine and the first nuclear aircraft carrier , died on saturday at his home in chevy chase , md. .	milton shaw ## who oversaw first nuclear submarine project
u.s.-backed iraqi forces swept through a central baghdad slum sunday , disarming government-allied sunni fighters who launched a two-day uprising to protest the arrest of their leader .	iraqi troops round up sunni fighters in baghdad
china will introduce more computer and information technology into its taxation system in a bid to improve efficiency , said jin renqing , director of state administration of taxation .	china to increase use of it in UNK
russia and serbia signed a controversial energy deal wednesday for russian state gas monopoly gazprom to acquire serbia 's oil monopoly in exchange for building a gas pipeline through serbia .	russia serbia sign controversial energy deal
israeli foreign minister shimon peres is to go to gaza city to meet palestinian leader yasser arafat at midday on monday in a bid to defuse arab anger over israel 's land confiscations , officials said .	peres meets arafat in bid to calm arab clamor over jerusalem
alan bean always had a creative streak : as a child , tinkering with his model airplanes until they became perfect little replicas of the real thing and later , proposing aircraft paint designs during his military career .	former astronaut alan bean on artistic voyage
greece monday stressed once again the need for the gradually lifting of sanctions against yugoslavia .	greece urges lifting of sanctions against yugoslavia
a german court friday banned a prospective brothel owner from setting up in speyer because the southwestern town does not have enough people living there .	german town too small for brothel
in a bid to promote the protection of human rights , a group of leading activists on friday announced the creation of the indonesian legal aid and human rights association -lrb- UNK -rrb- , a splinter group of the country 's legal aid foundation .	rights activists announce creation of legal aid association
swaziland faces possible expulsion from the commonwealth if it does not resolve the political and judicial crisis in the country , officials have warned .	commonwealth head says swaziland must resolve problems or face possible removal from commonwealth
a suicide attack on chechnya 's parliament may have been staged by a shadowy warlord who wants to establish himself as a leader of the russian region 's UNK islamist insurgency , officials and analysts said wednesday .	chechen warlord may be behind parliament attack
sen. dick durbin said sunday he will not run for governor of illinois in #### , leaving democrats without the candidate most thought gave them their best chance to win the state 's top post for the first time in nearly three decades .	durbin wo n't run for ill.
irritated by the prospect of a huge european gas development deal with iran , the bush administration said monday it will argue that such transactions undercut international bargaining power with iran over its nuclear program .	an irritated u.s. says it will protest austrian gas deal with iran
iran 's president warned tuesday that the united states will suffer if it tightens economic sanctions against his country , the islamic republic news agency reported .	iran says u.s. will lose if sanctions are tightened
what 's love got to do with it ? everything , according to the three appellate justices who decided that wal-mart and other companies can bar their employees from dating .	bowling on a date cost them their jobs
the crisis in ukraine is seen primarily as a political split between east and west .	ukraine 's rifts extend to the economy
a u.n. staff member serving in haiti had died after being shot in the head on monday night in port au prince , the haitian capital , a u.n. deputy spokesman said on wednesday .	u.n. haiti staff member dies after being critically wounded
a greek court will drop charges against a man indicted for manslaughter in connection with the sinking of a greek ferry in which ## people drowned , after it found out that the person died a year ago , court sources said monday .	greek court drops charges against dead man over fatal ferry accident
utility e. on ag , whose bid to acquire spanish rival endesa sa failed , said wednesday that its first-quarter profit rose nearly ## percent on better results from its international operations and despite a milder-than-expected winter .	germany utility e. on says #st-quarter profit jumps ## percent to euro# .## b
michael chang bowed out in the first round of the rca championship tennis event in indianapolis on monday while swedish thomas enqvist continued his comeback from shoulder surgery with a hard fought victory .	chang out of rca championship
argentine authorities thursday detained a uruguayan national who sought to enter the cockpit of a united airlines flight from miami to buenos aires .	man held after trying to enter cockpit on UNK aires flight
officials in binghamton , new york , say they will reopen an immigrant community center where ## people were shot and killed but are not sure when .	ny immigration center pledges to reopen
a member of anti-islam lawmaker geert wilders ' freedom party says he is quitting parliament amid reports he hit an athlete with a spiked running shoe years ago and that a company he was a director of was fined for misleading consumers .	lawmaker with wilders party quits parliament
the emotional pain of a ##-game losing streak finally was transcended by the rockets with a ###-### victory over milwaukee three days before christmas .	UNK 's work with rockets breaks ground for female trainers
malaysian share prices closed up #.## percent wednesday after the market received a boost from late buying interest by local funds , dealers said .	malaysian shares up #.## percent
a search continued monday for the body of a u.s. tourist presumed drowned during a white water rafting trip in zimbabwe .	american presumed drowned on white water trip
pakistan 's army says security forces have killed at least ## militants in an assault in a restive northwestern valley .	pakistan army says ## militants killed in swat
greece urged turkey on thursday to pressure turkish-cypriot leader rauf denktash into softening his stance on a settlement of the cypriot question , warning that ankara 's chances to eventually enter the european union could be undermined if ongoing talks to reunite the island fail .	greece wants turkey to weigh in on denktash
after seeming to fall behind in the race for alternative-fuel vehicles , chrysler said on tuesday that it would produce an electric car for sale in #### and follow it up with a broad lineup of battery-powered vehicles .	chrysler enters race to introduce electric models
as the severe cold wave sweeps the country , UNK in northern bangladesh on saturday recorded #.# degree celsius -- the lowest temperature this season so far .	bangladesh records lowest temperature this season
us president barack obama called on havana to send a signal there will be `` changes in how cuba operates '' to prompt a thaw in relations , ahead of his first visit to latin america on thursday .	obama calls for signal from cuba ahead of latin america visit
vietnamese and us civil aviation officials have reached an initial agreement on the establishment of flight routes and direct aviation services , according to a report of the vietnam civil aviation authority on tuesday .	vietnam us reach agreement on flight routes
some of america 's leading mutual fund companies , including fidelity investments , are reporting an increase in shareholder withdrawals from stock funds amid one of the worst market drops since #### .	fund companies report modest net outflows from stock funds
nearly #,### workers went on strike on thursday evening at a general motors spark plug and speedometer factory in flint , mich. , joining fellow strikers at a nearby gm plant in an increasingly bitter fight that could close all of the leading automaker 's north american assembly plants within days .	uaw strike against gm spreads to #nd parts factory
america 's most famous french bookstore will close its doors this year after ## years in business , unable to bear a staggering rent increase in new york 's rockefeller center .	america 's most famous french bookstore to down shutters
eleven soldiers at a military school near madrid have been diagnosed with swine flu but their symptoms are mild , the spanish government said friday .	spain confirms ## cases of swine flu at military school
deposits in the industrial and commercial bank of china -lrb- icbc -rrb- surged to over #.## trillion yuan in the first half of the year , about ### billion yuan more than in the same period in #### .	industrial and commercial bank 's business good
citigroup fully absorbed japan 's third-largest brokerage nikko cordial after they completed a planned share exchange , the two companies said tuesday .	citigroup absorbs nikko cordial after completing share exchange worth us$ #.# billion
tonnes of oil spilled into a river near milan after a sabotage at an ex - refinery , a spokeswoman for the lombardy region of northern italy told afp wednesday .	oil spills into italian river after sabotage at UNK
yan yen and pauv di tha are part of the harvest from land mines , cambodia 's hidden crop of horror .	: cambodia 's land mines still take lethal toll
geneva , oct. ## -lrb- xinhua -rrb- - the world trade organization -lrb- wto -rrb- decided on thursday to establish an expert panel to investigate whether a chinese auto parts import measure violates wto trade rules or not .	wto expert panel to investigate china 's auto parts import measure
many taiwanese businessmen expect the escalating u.s.-china trade frictions to be resolved later this month because a trade war will hurt both sides .	taiwanese businessmen expect china-u.s. trade friction to ease
spain 's celebrated anti-terror judge baltasar garzon is to take a break for an unspecified period from his high court job to lecture in the united states , el mundo daily reported monday .	spanish judge garzon to take us break
u.n. employees are increasingly casualties of the conflicts they are working to end , partly because the world body has a double standard when it comes to protecting its workers , security experts told an annual staff summit .	security experts call for more protection for u.n. staffers after ## killed last year
for the first time since foot-and-mouth disease was confirmed in britain three months ago , no new daily cases were reported .	no foot-and-mouth cases in britain
the us senate race thursday turned to a defunct quincy , mass. shipyard as sen. john f. kerry and his republican rival , gov. william f. weld , dueled over who deserved credit for a proposed law that could help reopen the historic yard and put #,### people to work .	senate candidates loose lips take credit for possible ships
customs officials from ## asian - pacific countries and regions gathered today at a forum in xi'an , northwestern shaanxi province , to exchange work experiences and discuss on how to intensify cooperation between them .	customs officials in asian-pacific to seek cooperation
a multi-national fisheries council is likely to be set up as experts seek urgent solutions to rapidly diminishing global fish stocks , officials of the second world fisheries congress said here wednesday .	fisheries council to be set up amid fears for global fish stocks
jordanian prime minister abdel karim kabariti urged israel here tuesday to sign the long-delayed agreement with the palestinians on an israeli withdrawal from the west bank flashpoint town of hebron .	jordan urges israel to sign hebron deal
one of nigeria 's most prominent dissidents pleaded innocent to murder on monday after appearing in court for the first time since his arrest last may .	human rights campaigner pleads innocent in murder trial
the macao posts and telecommunications department will issue a set of stamps on june # , which can be used both in the period before macao 's handover from portugal to china on december ## and after .	macao to issue transitional stamps
taichung police have arrested five suspects for making and selling bogus nt$ #,### bills .	taichung police seize bogus nt$ #,### bills
the most popular independent belgrade radio station , b-## , was shut down friday when uniformed policemen burst inside , abruptly interrupting its broadcast .	independent b-## radio banned
blue chip shares edged slightly higher early tuesday ahead of the afternoon meeting of the federal reserve 's open market committee .	dow jones edges higher
thai prime minister samak sundaravej vowed saturday not to resign despite growing pressure for him to step down as anti-government protesters occupied his headquarters for a fifth day and disrupted rail and air service in some of the country 's most popular tourist destinations .	thai prime minister vows he won t resign
the general commanding u.s. forces in iraq and afghanistan slumped over tuesday during a senate hearing , but revived after a few seconds and left the room under his own power .	us general rushed from hearing room
a small plane crashed into a seaside house in heavy fog early monday , killing two people aboard and two children in the vacation home it struck , authorities said .	# reported dead as plane hits house in us
in the fall of #### , alarmed by the growing strength of viet minh guerrilla forces , french military leaders in vietnam decided to establish a fortified base in the colony 's northern highlands .	a brilliant piece of french fall in vietnam
at least ## militants and two soldiers were killed monday in gun battles in a restive area of northwest pakistan rocked by a violent campaign to impose islamic law , the military said .	two soldiers ## militants killed in pakistan 's swat valley
hungary extradited to ukraine former presidential security chief victor UNK , who is wanted by kiev for embezzling state funds , hungarian radio said thusday .	hungary extradites former ukrainian security chief
as many as #,### villagers remained missing saturday after a sea of mud crushed a remote mountain village on the philippine island of leyte , authorities said .	up to #,### missing in philippine island mudslide
at least ## people were killed in road accidents during the songkran festival in thailand .	## people killed in road accidents in thailand
two irish detectives will fly to brazil to help identify bodies recovered after the mid-atlantic air france catastrophe which killed ### , including three irish doctors , police said thursday .	irish police to help identify air france victims
bbc worldwide , the bbc 's international television broadcasting arm , will launch an aggressive push for international audiences and advertising later this year on the back of strong profits , the financial times reported on monday .	afp sports schedule for monday june ##
qatar holding has withdrawn its request to become a major stakeholder in the nordic and baltic exchange omx , the swedish financial supervisory authority -lrb- fi -rrb- announced on tuesday .	qatar holding withdraws bid for nordic exchange omx
the united nations launched the upcoming international year of sport with two top athletes _ the world 's no. #-ranked tennis player roger federer who admitted being far more nervous than on a tennis court and new york marathon champion margaret okayo .	u.n. launches upcoming international year of sport with two champions _ tennis no. # roger federer and marathon runner margaret okayo
the financier carl icahn named his investment advisers monday for a proxy assault on rjr nabisco holdings corp. reiterating his intent to seek an immediate spinoff of the company 's food business .	icahn names his advisers in rjr battle
spain moved wednesday to soothe us anger at its decision to withdraw troops from iraq by promising future cooperation with the united states in the global war on terrorism , middle east peace efforts and balkans stability .	spain looks to mollify us anger over iraq troop withdrawal
three us soldiers from the #th infantry division were killed in a roadside bombing near the restive city of samarra north of baghdad on wednesday , the us military said .	three us soldiers killed in attack north of baghdad
boeing , the world 's leading airliner manufacturer , plans to expand customer support services in china next year , according to today 's china daily .	boeing to expand customer support services in china
ugandan president yoweri museveni will arrive here tomorrow for an one-day working visit to tanzania .	ugandan president to visit tanzania
duke university medical center will no longer train family physicians , long the foot soldiers of primary care .	duke to cut family medicine residency
china 's government announced saturday that it would wait to see how taiwan 's new president handles relations between the island and the mainland , despite its earlier warnings that a chen shui-bian victory could lead to war .	beijing calls for more taiwan talks
talks between struggling auto parts supplier delphi corp. and its unions that are key to a critically needed capital injection could go beyond a jan. ## deadline as long as progress is being made , a delphi spokesman said wednesday .	UNK talks may go beyond jan. ## deadline
the u.s. embargo of cuba reminds me of the story about how a mighty russian marathon runner lost an international race .	u.s. obsession with cuba drives allies nuts
the world bank will start a poverty-reduction project in northwest china 's gansu province based on a study done by a team led by petros UNK in UNK and qingshui counties from october ## to ## .	world bank plans poverty-reduction project in northwest china
riots raged on in the northern nigerian city kaduna on saturday after violence there forced beauty pageant organisers to abandon plans to stage miss world in nigeria .	riots rage on as miss world contestants flee
around ### iraqis demonstrated in downtown baghdad friday to protest the entry of u.s. soldiers into a mosque , claiming the troops had mistreated worshippers and taken money .	### iraqis protest american soldiers entering a mosque
workers at a disputed nuclear power plant near the austrian border completed the loading of fuel into the plant 's second unit monday , and an official said testing likely would begin in six weeks .	temelin power plant completes nuclear fuel loading into second
no matter who wins the alpine skiing events at the #### winter olympics , the whole world will be pulling for them .	olympians have alpine skiing down to a science
the central government will put ### billion yuan -lrb- ##.# billion us dollars -rrb- of investment into the country 's western region this year to initiate ## key projects there , according to a high-ranking official .	massive investment promised to western china
the instinctive action on picking up a book like `` american places , '' a collection of essays on that subject by some two dozen historians , is to go for the familiar , the more local the better .	essays that are going places
rico brogna hit a go-ahead sacrifice fly in the ##th inning and the surging atlanta braves won their fifth straight game , beating the philadelphia phillies #-# tuesday night .	braves # phillies # ## innings
philadelphia phillies pitcher ugueth urbina was arrested as venezuelan authorities sought to charge him with attempted murder for an assault on several employees last month , his lawyer said on tuesday .	phillies pitcher urbina arrested in venezuela as suspect in assault
lagos , may ## -lrb- xinhua -rrb- -- the african development bank group -lrb- adb -rrb- lent african countries about ## billion us dollars between #### and #### , radio nigeria reported this afternoon .	adb grants african countries ## billion us dollars as loans
interim president raul castro said sunday the national assembly would elect cuba 's next president february ## , amid speculation ailing fidel castro might not be its choice for the first time in almost five decades .	fidel castro 's future to be decided next month
psa peugeot citroen and chinese carmaker dong feng motors are to sign an agreement in beijing friday marking the second stage of joint activities , allowing the french carmaker to develop its presence in china , the peugeot said monday .	peugeot citroen and dong feng motors to sign agreement
chinese vice-president rong yiren today met with UNK onofre bezerra UNK , chief of staff of the brazilian armed forces .	chinese vice-president meets brazilian general
bangkok police have launched a crackdown on a class of lawbreakers they say has brought the city to a standstill _ traffic violators .	more than ### arrested on first day of bangkok traffic crackdown
landless farmers who had invaded a ranch owned by the sons of president fernando henrique cardoso in a protest a day earlier left the premises peacefully early sunday .	landless brazilian farmers end occupation of president 's ranch
cote d'ivoire president laurent gbagbo and warring factions clinched a peace deal here on wednesday , declaring the end of the two-year civil war in the western african country .	cote d'ivoire warring factions reach peace agreement
hong kong share prices closed #.## percent lower thursday as investors assessed comments by a us official that hurricane katrina could aggravate inflation risks in the near term , dealers said .	hong kong shares close lower on worries over us inflation interest rates
the former commander of muslim forces in the eastern bosnian town of srebrenica went on trial on wednesday at the united nations war crimes court , charged with atrocities against bosnian serbs during the first two years of the bosnian war .	srebrenica muslim leader goes on trial for atrocities against serbs
a judge refused to dismiss contempt charges against actress kim basinger , who is accused of failing to heed court orders in her custody fight with ex-husband and actor alec baldwin .	los angeles judge refuses to dismiss contempt charge against kim basinger
the big ## conference suspended the referee who counted a controversial final basket in texas a&amp;m 's ##-## victory over texas tech for the rest of the season sunday night .	texas tech coach to protest basket
attackers who murdered five french nationals at a diplomatic compound on the outskirts of algiers planned a carbomb attack but the vehicle failed to explode , a french foreign ministry official said wednesday .	killers planned carbomb attack
mexico 's national human rights commission criticized the slow pace of police probes into reported attacks on and threats against three journalists .	mexican commission criticizes delay in probe of attacks on
chinese premier li peng said that further development of a long-term , stable UNK friendship and cooperation is in the fundamental interests of the two sides .	chinese premier meets greek defense minister
portugal is sending ### paramilitary police to help restore order in east timor , a government official announced thursday .	portugal sends paramilitary police to help quell east timor violence
south korean share prices closed #.## percent higher tuesday , in seesaw trading , with foreign investor-led buying helping the main index finish in positive territory , dealers said .	seoul shares close higher on foreign investor buying support
argentine experts succeeded in implanting fertilized eggs that had remained frozen for two years into the womb of a ##-year-old woman and started development of a fetus , scientists said today .	first pregnancy in latin american with frozen eggs
india will take in nepal 's ghee , a vegetable oil that is one of the kingdom 's key exports , for at least one more month , extending the deadline of a controversial trade deal , officials said thursday .	india agrees to extend nepalese UNK imports for month
the commerce department said wednesday that new orders to u.s. factories rebounded in march .	u.s. factory orders rebound in march
two gunmen suspected of being gang members were killed and two others wounded thursday night after a shootout during an anti-gang police raid on a house in northeast houston , authorities said .	# dead # wounded in houston fbi raid targeting suspected members of notorious ms-## gang known for extreme violence
wang laboratories inc. said it will take an $ #.# million charge in the first quarter to retire an issue of preferred stock .	wang labs to take $ #.# million charge to retire preferred stock
italy 's foreign minister said he was fighting to protect the country 's interests in any overhaul of the u.n. security council , according to comments published tuesday .	italy lobbying to protect interests in u.n. reforms
the united states said wednesday that it opposed restoration of ties between haiti and cuba , but said that such a decision was the prerogative of the haitian government .	us opposes haitian decision to restore ties to cuba
shane watson made an unbeaten ## friday , following his first innings of ### not out , as australia a and pakistan a drew their four-day match at the top end cricket series .	australia and pakistan draw at top end series ; india beats new zealand
french prime minister alain juppe has been named for involvement in the payment of a #.# million franc -lrb- ###,### dollars -rrb- commission to his neo-gaullist rally for the republic -lrb- rpr -rrb- party via a swiss bank account , the centre-left daily liberation reported on tuesday .	french premier named in corruption case
eight people died in a fire that swept a furniture factory in russia 's western siberian city of yekaterinburg , emergency ministry officials said early wednesday as quoted by the ria novosti news agency .	eight dead in russian furniture factory blaze
a lithuanian air force commander announced on monday that spain was to carry out nato patrol missions in the three baltic sea countries ' airspace .	spain to carry out nato patrol in baltic countries
burkina faso 's prime minister UNK zongo held talks here with the international committee of the red cross -lrb- icrc -rrb- 's regional representative jacques UNK on the organization 's activities in the sub-region .	burkina faso pm holds talks with icrc regional representative
israel on friday closed down its embassy in mauritania , one of three arab nations that has diplomatic ties with the jewish state , the foreign ministry said , in the wake of a dispute over the gaza war .	israel closes mauritania embassy after gaza spat
bp group plc , one of the world 's largest oil companies , announced tuesday that quarterly profits rose ## percent on the strength of world oil prices , but said it was taking a us$ ### million -lrb- euro### million -rrb- charge to settle claims from a refinery explosion .	bp 's second-quarter profit rises ## percent on strong oil prices
engineering student youssef samir megahed has been in jail for more than eight months -- a wild detour from the seemingly innocuous road trip to see atlantic coast beaches that he says he and a friend were enjoying .	student accused of transporting explosives to go on trial in us
chinese workers nationwide today celebrated their own festival , the international labor day .	international labor day celebrated in china
eddie murray is n't the least bit interested in carrying a torch for all you middle-aged males out there .	murray back to kick not to carry torch
china friday accused taiwanese president chen shui-bian of stirring up hatred against the mainland by distorting the purpose of an anti-secession law passed monday by beijing 's parliament .	china says taiwan 's chen is stirring up hatred
the shanghai ricoh fax machine co. , a joint sino-japanese venture , has invested seven million us dollars in the municipality 's pudong new area to set up a production base of mother sets for fax machines .	shanghai fax manufacturer gets facilities in pudong new area
the hong kong 's composite consumer price index rose by #.# percent in march from a year earlier , the same as the increase in february , according to figures released by the census and statistics department of hong kong government friday .	hk cpi up #.# pct in march
a madrid audience angered by a blundering performance of `` bolero '' shouted the world-famous vienna philharmonic orchestra off the stage .	madrid audience boos vienna philharmonic off stage
the taliban have written threats on leaflets passed out at mosques , whispered them in villages , proclaimed them to journalists and posted on the internet : if you vote in saturday 's parliamentary elections , prepare to be attacked .	afghans head to polls as taliban threats mount
the united states moved friday to lift restrictions by the end of the month on imports of canadian game animals and certain boneless meat products , easing trade barriers imposed because of canada 's lone case of mad cow disease .	u.s. lifting some restrictions on canadian meat imports
as health care legislation moves toward a crucial airing in the senate , the white house is facing a growing revolt from some democrats and analysts who say the bills congress is considering do not fulfill president barack obama 's promise to slow the runaway rise in health care spending .	skepticism over whether health bills really cut costs
thailand 's tax revenue collected in past eight months has exceeded the original target by #.# billion u.s. dollars , or #.# percent , to reach ##.# billion dollars , signaling a sustainable economic recovery , the state - owned radio reported wednesday .	thailand 's tax revenue in past # months surpasses target
a new supercomputer model of the universe -- the most complex such simulation ever created -- lends credence to the theory that the original recipe for the real cosmos probably included both cold and hot versions of the mysterious ingredient known as dark matter .	computing a model of the cosmos
a feud with faa safety watch dogs in phoenix has added a new hurdle to america west 's UNK ery from a year plagued by flight delays and cancellations .	faa feud new hurdle for amwest
col. john r. bourgeois has had a closeup view at the white house for ## years .	marine band conductor marches from the white house to a medley of
russia late wednesday launched a kosmos-#m rocket carrying a military satellite from its plesetsk space center , in the north of the country , a spokesman for the military space corps said .	russia launches military satellite
`` the limelight has n't ended , '' former police comissioner william j. bratton said on friday , beaming , before he received an honorary degree from the john jay college of criminal justice in manhattan .	out of the fray bratton is still in the limelight
the united states named the same team that won the davis cup last month for this year 's opening world group match against austria .	united states picks same players to face austria in first round of davis cup
hong kong stocks fell friday in response to news that a major local developer slashed the sales price of a luxury housing project .	hong kong stocks lower in morning trading
ukrainian president leonid kuchma on saturday fired the country 's air force commander-in-chief , viktor UNK , following a airshow jet crash that killed ## people , interfax reported .	ukrainian air force chief fired over air show disaster
health campaigns , including those by international agencies , were banned in the remote northeastern indian state of assam saturday after an UNK program went awry leaving ## children dead and thousands of others suffering side-effects .	health campaigns halted in northeastern indian state after botched
south africa , known during the apartheid era for its conservative , UNK legislation , is set wednesday to adopt one of the world 's most liberal abortion laws .	s. africa set to adopt liberal abortion bill
an allfirst bank employee was indicted wednesday on charges on hiding nearly ### dollars in losses .	bank employee indicted for losing ### million dollars
spanish prime minister jose luis rodriguez zapatero on wednesday congratulated italy 's centre-left leader romano prodi on his as yet unconfirmed election victory over sitting prime minister silvio berlusconi , the spanish leader 's office said .	spanish pm sends congratulations to prodi
south korean shares closed higher monday led by large cap stocks as foreign investors bought in after wall street 's gains friday and a largely as-expected group of seven meeting , dealers said .	seoul shares close sharply higher on wall st gains g# meeting
shaun murphy insisted his resolve never faltered on his way to winning the world snooker championship title despite resuming monday ##-# behind in the final .	self-belief sees murphy to shock world title
the hamas militant group has issued its first statement on losses suffered during israel 's latest offensive in the gaza strip .	hamas says ## fighters slain in israel-gaza war
president luiz inacio lula da silva will attend the opening of the summer olympics in beijing , a top official said wednesday .	brazil 's lula will attend beijing olympics opening
since the us-led ground campaign in iraq began march ## , the us casualty toll stood at ## military personnel dead , according to pentagon figures released friday .	us casualty toll stands at ## dead
new zealand captain ross taylor won the toss tuesday and elected to bat in the limited-overs tri-series opener against india .	new zealand wins toss bats in series opener
his chosen vocation ridiculed by peers and elders alike , south african teenager UNK ndlovu remains unwavering in his ambition to become a world-class ballet dancer .	black billy elliot UNK past south african prejudices
president george w. bush said monday that us economic fundamentals are strong despite the horrendous declines in wall street share prices .	bush says us economic fundamentals real despite stock meltdown
about three-quarters of a million residents of florida 's east coast were urged to evacuate _ again _ as hurricane jeanne churned westward and threatened the state with its fourth pounding in six weeks .	hurricane jeanne takes aim at florida 's east coast
the return of sean burke to the phoenix coyotes on saturday night should scare the los angeles kings .	kings lost without allison
china will adopt effective measures to ensure safe shellfish on market , said today 's china daily .	china adopts measures to ensure safe shellfish
problematic liquor in central china 's hubei province had new victims , with one more died tuesday night , bringing the death toll from three to four , local police said wednesday .	four dead more than ## sick after drinking liquor in central china
a two-day consultation meeting held to review and finalize cambodia 's new national policy for the country 's women began here today .	cambodia holds consultation on women policy
alzheimer 's patients may soon get the first skin patch to treat the creeping brain degeneration , a novel way to deliver an older drug so that it 's easier to take and might even work a little better .	first skin patch for alzheimer 's improves quality of life ; scientists hunting better options
oil prices extended gains in asian trade wednesday , lifted by a report showing improving demand in the us , the world 's largest energy consumer , analysts said .	oil extends gains ahead of opec meeting
an outbreak of diarrhoeal disease in kabul killed three people and has plunged #,### patients into hospital in the capital city of afghanistan in the past three weeks , a spokesperson of world health organization -lrb- who -rrb- said sunday .	diarrhea cholera spreading in kabul
us investment firm farallon capital management has won the bidding to buy bank central asia , indonesia 's largest retail bank , the government announced thursday .	us investment firm wins bid for indonesia 's largest retail bank
an afghan appeals court has overturned a death sentence for a journalism student accused of blasphemy and instead sentenced him to ## years in prison .	afghan journalism student sentenced to ## years
somali government forces and ethiopian troops in mogadishu on wednesday carried out widespread searches in many neighborhoods in the somali capital as the security is deteriorating .	widespread crackdown underway as insecurity escalates in mogadishu
continental airlines has unilaterally raised the fee passengers must pay to make changes on nonrefundable UNK tickets to $ ### , up from $ ## , the carrier said tuesday .	continental raises UNK fee
the united nations said it would audit all its operations in north korea , where the u.s. has alleged that money from at least one u.n. program could be ending up illegally in the hands of the communist regime .	u.n. says it will audit all operations north korea
